<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.07.13	05:00:00	1247.16	1247.42	1246.39	1247.08	3294	0	21
2018.07.13	06:00:00	1247.09	1247.18	1245.67	1246.28	2998	0	21
2018.07.13	07:00:00	1246.28	1246.56	1244.75	1244.78	2897	0	21
2018.07.13	08:00:00	1244.76	1245.87	1244.21	1245.83	3214	0	21
2018.07.13	09:00:00	1245.82	1246.31	1244.52	1244.77	4587	0	21
2018.07.13	10:00:00	1244.66	1244.95	1241.14	1241.74	7039	0	21
2018.07.13	11:00:00	1241.75	1242.20	1240.37	1240.92	5777	0	21
2018.07.13	12:00:00	1240.91	1242.26	1239.18	1241.96	5947	0	21
2018.07.13	13:00:00	1241.96	1242.39	1240.49	1240.90	4156	0	21
2018.07.13	14:00:00	1240.88	1241.67	1237.78	1237.88	5111	0	21
2018.07.13	15:00:00	1237.87	1243.56	1236.31	1243.29	8213	0	21
2018.07.13	16:00:00	1243.28	1243.70	1239.98	1240.31	8204	0	21
2018.07.13	17:00:00	1240.30	1242.99	1240.26	1242.38	8291	0	21
2018.07.13	18:00:00	1242.34	1243.21	1241.50	1242.06	7635	0	21
2018.07.13	19:00:00	1242.06	1242.81	1241.39	1242.05	5180	0	21
2018.07.13	20:00:00	1242.05	1242.49	1240.71	1241.44	4335	0	21
2018.07.13	21:00:00	1241.46	1242.04	1240.95	1240.97	4085	0	21
2018.07.13	22:00:00	1240.96	1241.61	1240.72	1241.54	3374	0	21
2018.07.13	23:00:00	1241.53	1241.60	1240.90	1241.20	1735	0	21
2018.07.16	01:00:00	1240.95	1241.99	1240.22	1241.65	1520	0	21
2018.07.16	02:00:00	1241.68	1242.13	1241.07	1241.12	1778	0	21
